"feature_list","practical","polysemy","appearance","trendy","impersonal","romantic","geeky","fun"
"christmas day",0.8,0.8,0.8,0.2,0.6,0.6,0.4,0.8
"valentine's day",0.2,1,0.6,0.2,0,1,0.2,0.2
"birthday",0.4,0.4,0.4,0.6,0.4,0.2,0.4,0.6
,,,,,,,,
"christmas tree",0,1,0.8,0,0,0.8,0.2,0.8
"jacket",1,0.2,0.6,0.8,0,0.2,0.2,0
"comic book",0.2,0,0,0.6,0.6,0,0,1
"crayon",1,0,0,0,1,0,0,1
"mug",1,0.6,0.8,0.2,0,0.6,0,0.6
"glove",1,0.2,0.8,0.6,0,0.6,0,0
"scarf",1,0.2,0.8,0.6,0,0.8,0,0.2
"bottle",1,0,0.2,0.6,0.4,0.4,0.8,0
"book",1,0.6,0.2,0.4,1,0,0,0.6
"sun glass",1,0.2,0.8,1,0,0,0.6,0.8
"sock",1,1,0.2,0.4,0,0,0,0.6
"bell",0.4,0.6,0.8,0,0.6,0.4,0,0.8
"cap",1,0.2,0.6,0.6,0,0.4,0,0
"skate",0.8,0,0.2,0.6,0,0.4,0.2,0.8
"shovel",0.8,0,0,0,0.4,0,0.2,0.2
"dinner",1,0.8,0,0,1,1,0,0.8
"travel",0.8,0.8,0,1,1,1,0.6,1
"tableware",1,0,0.8,0.4,1,0.2,0,0
"massage",1,0.6,0,0.8,0,0,0,0.8
"microwave",1,0,0.8,0.6,1,0,0,0
"flower",0,1,1,0,1,1,0,0.6
"chocolate",1,0.8,0.4,0,0.6,0.8,0,0.2
"toy",0.8,0,0.4,0.4,0.4,0,0.4,0.8
"teddy bear",0.2,0.8,0.6,0,0.2,0.8,0,0.8
"letter",0.2,1,0.2,0,0,0.8,0,0.6
"ring",0.4,1,1,0.8,0,0.8,0,0
"necklace",0.4,0.8,1,0.8,0,0.8,0,0
"diary",0.2,1,0.2,0,0,1,0,0.8
"tie",0.4,0,1,0.2,0,0.2,0,0.2
"movie ticket",1,0.4,0,0.2,0,0.6,0.4,1
"cloth",1,0.2,0.8,0.8,0,0.2,0,0.2
"photo",0.6,0.6,0.8,0.4,1,0.6,0.2,0.6
"gown",0.8,0.6,1,0.2,0,0.4,0,0
"briefcase",0.8,0.2,1,1,0,0.2,0.2,0
"lipstick",0.8,0.2,1,0.6,0,0.4,0,0.2
"jewelry",0.4,0.6,1,0.6,0,0.6,0,0
"puzzle",0.2,0.8,0.8,0,0.2,0.6,0,1
"wine",0.8,0.8,0.2,0.4,0.8,0.8,0,0.6
"watch",1,0.2,0.6,0.8,0,0.2,1,0.4
"lamp",1,0,0.6,0.2,0.4,0,0.6,0.2
"cake",1,0.8,0.6,0.4,1,1,0,0
"card",0.2,1,0.6,0.6,0,0.4,0,0.6
"walkman",1,0,0.4,0.2,0,0,1,0
"perfume",0.6,0.8,0.6,0.2,0,0.4,0,0
"ball",0.8,0,0,0,1,0,0,0.8
"earring",1,0,0.4,0.8,0,0,1,0
"phone",1,0,0.8,0.8,0,0,1,0.6
"lottery",0.2,0.8,0,0,0.2,0,0,0.4
"camera",1,0.6,0.6,0.4,0.8,0.4,1,0.4
"chess",0.2,0,0.2,0.2,1,0.2,0,1
"music player",1,0.2,0.2,0.2,0.2,0,0.8,0.2
"computer",1,0,0.2,0.6,0.6,0,1,0.4
"album",0.2,0.2,0.6,0.2,0.8,0.4,0.4,0.2
"pen",0.8,0,0,0,0.2,0,0,0
"pet",0.4,0.8,0.8,0.2,0.2,0.2,0,0.8
"artwork",0,1,1,0.8,0.8,0.8,0,0.6
"video game",0.4,0,0.2,0.2,1,0.2,0.8,1
"decoration",0.2,0,0.8,0.6,1,0.8,0,0.2
"audio",0.8,0,0.2,0.8,0.8,0,0.8,0.6
"instrument",1,0,0.2,0,0.6,0,0.8,0
